,DATE,ENTRIES,EXITS
0,03/27/2021,1008298.0,1113258.0
1,03/28/2021,628044.0,731843.0
2,03/29/2021,1324116.0,1307655.0
3,03/30/2021,1391020.0,1369229.0
4,03/31/2021,1354955.0,1324607.0
5,04/01/2021,1368481.0,1350815.0
6,04/02/2021,1297695.0,1306203.0
7,03/20/2021,972363.0,1075187.0
8,03/21/2021,774552.0,891070.0
9,03/22/2021,1376605.0,1329121.0
10,03/23/2021,1396573.0,1342638.0
11,03/24/2021,1380839.0,1331370.0
12,03/25/2021,1411345.0,1363518.0
13,03/26/2021,1394137.0,1375131.0
14,03/13/2021,967951.0,1071076.0
15,03/14/2021,702244.0,794597.0
16,03/15/2021,1326509.0,1289133.0
17,03/16/2021,1373495.0,1332074.0
18,03/17/2021,1394651.0,1341093.0
19,03/18/2021,1348518.0,1309571.0
20,03/19/2021,1384594.0,1353979.0
21,03/06/2021,914303.0,1012826.0
22,03/07/2021,733140.0,836177.0
23,03/08/2021,1350765.0,1302621.0
24,03/09/2021,1394766.0,1348424.0
25,03/10/2021,1384895.0,1340526.0
26,03/11/2021,1402433.0,1363653.0
27,03/12/2021,1398621.0,1379406.0
28,02/27/2021,855500.0,942231.0
29,02/28/2021,669545.0,760551.0
30,03/01/2021,1336373.0,1290974.0
31,03/02/2021,1361820.0,1311454.0
32,03/03/2021,1393589.0,1338436.0
33,03/04/2021,1386549.0,1328747.0
34,03/05/2021,1379027.0,1347179.0
