,DATE,ENTRIES,EXITS
0,03/27/2021,1078706.0,1221440.0
1,03/28/2021,644889.0,754116.0
2,03/29/2021,1497418.0,1545172.0
3,03/30/2021,1610709.0,1658854.0
4,03/31/2021,1551216.0,1595995.0
5,04/01/2021,1558495.0,1612903.0
6,04/02/2021,1448473.0,1534472.0
7,03/20/2021,1027811.0,1161815.0
8,03/21/2021,801665.0,931695.0
9,03/22/2021,1560121.0,1587366.0
10,03/23/2021,1620143.0,1642946.0
11,03/24/2021,1590297.0,1612561.0
12,03/25/2021,1640902.0,1667790.0
13,03/26/2021,1611915.0,1669682.0
14,03/13/2021,1043834.0,1184748.0
15,03/14/2021,739624.0,849417.0
16,03/15/2021,1504943.0,1530375.0
17,03/16/2021,1560686.0,1585119.0
18,03/17/2021,1597583.0,1627233.0
19,03/18/2021,1520724.0,1550818.0
20,03/19/2021,1599049.0,1648031.0
21,03/06/2021,975594.0,1104481.0
22,03/07/2021,752981.0,866709.0
23,03/08/2021,1547121.0,1575619.0
24,03/09/2021,1631790.0,1668821.0
25,03/10/2021,1636684.0,1676430.0
26,03/11/2021,1665417.0,1712576.0
27,03/12/2021,1665025.0,1741023.0
28,02/27/2021,901909.0,1015036.0
29,02/28/2021,689347.0,793460.0
30,03/01/2021,1530934.0,1556490.0
31,03/02/2021,1570276.0,1593142.0
32,03/03/2021,1647622.0,1673740.0
33,03/04/2021,1612562.0,1640945.0
34,03/05/2021,1599248.0,1653831.0
