,DATE,ENTRIES,EXITS
0,03/27/2021,1060258.0,1189005.0
1,03/28/2021,634395.0,744166.0
2,03/29/2021,1477332.0,1506444.0
3,03/30/2021,1582794.0,1607508.0
4,03/31/2021,1529323.0,1549871.0
5,04/01/2021,1538806.0,1565892.0
6,04/02/2021,1431625.0,1495894.0
7,03/20/2021,1015231.0,1139119.0
8,03/21/2021,791387.0,916964.0
9,03/22/2021,1537508.0,1542891.0
10,03/23/2021,1593525.0,1591455.0
11,03/24/2021,1564744.0,1569319.0
12,03/25/2021,1611946.0,1610520.0
13,03/26/2021,1579217.0,1608002.0
14,03/13/2021,1029090.0,1159893.0
15,03/14/2021,727892.0,833412.0
16,03/15/2021,1483027.0,1495223.0
17,03/16/2021,1541539.0,1539974.0
18,03/17/2021,1574683.0,1577338.0
19,03/18/2021,1504403.0,1512799.0
20,03/19/2021,1578153.0,1596170.0
21,03/06/2021,966873.0,1089766.0
22,03/07/2021,743845.0,857382.0
23,03/08/2021,1522855.0,1524607.0
24,03/09/2021,1602775.0,1615154.0
25,03/10/2021,1608272.0,1618009.0
26,03/11/2021,1635906.0,1656135.0
27,03/12/2021,1630866.0,1673209.0
28,02/27/2021,891507.0,999443.0
29,02/28/2021,681249.0,782890.0
30,03/01/2021,1510510.0,1510784.0
31,03/02/2021,1547198.0,1543899.0
32,03/03/2021,1620520.0,1618724.0
33,03/04/2021,1585300.0,1588481.0
34,03/05/2021,1572496.0,1602643.0
