,DATE,ENTRIES,EXITS
0,03/27/2021,1070258.0,1208237.0
1,03/28/2021,639829.0,751535.0
2,03/29/2021,1491440.0,1535354.0
3,03/30/2021,1602412.0,1646189.0
4,03/31/2021,1544407.0,1586231.0
5,04/01/2021,1553374.0,1603994.0
6,04/02/2021,1441336.0,1525138.0
7,03/20/2021,1021900.0,1151658.0
8,03/21/2021,797526.0,927212.0
9,03/22/2021,1555721.0,1576609.0
10,03/23/2021,1612680.0,1624876.0
11,03/24/2021,1580781.0,1597535.0
12,03/25/2021,1631996.0,1650804.0
13,03/26/2021,1602929.0,1654037.0
14,03/13/2021,1038745.0,1174300.0
15,03/14/2021,734701.0,842727.0
16,03/15/2021,1499952.0,1518785.0
17,03/16/2021,1558273.0,1567431.0
18,03/17/2021,1596075.0,1614492.0
19,03/18/2021,1519470.0,1541752.0
20,03/19/2021,1595620.0,1635119.0
21,03/06/2021,972189.0,1101702.0
22,03/07/2021,749477.0,865134.0
23,03/08/2021,1540707.0,1553697.0
24,03/09/2021,1624140.0,1647787.0
25,03/10/2021,1627760.0,1650698.0
26,03/11/2021,1657718.0,1690380.0
27,03/12/2021,1657011.0,1712330.0
28,02/27/2021,896703.0,1004948.0
29,02/28/2021,685917.0,788760.0
30,03/01/2021,1525338.0,1541643.0
31,03/02/2021,1565100.0,1577004.0
32,03/03/2021,1642627.0,1653294.0
33,03/04/2021,1601067.0,1619625.0
34,03/05/2021,1590719.0,1635887.0
