,DATE,ENTRIES,EXITS
0,03/27/2021,1059223.0,1185067.0
1,03/28/2021,639628.0,748296.0
2,03/29/2021,1456653.0,1477742.0
3,03/30/2021,1551849.0,1568628.0
4,03/31/2021,1498096.0,1512157.0
5,04/01/2021,1504740.0,1527801.0
6,04/02/2021,1407811.0,1461963.0
7,03/20/2021,1015779.0,1137776.0
8,03/21/2021,797098.0,920894.0
9,03/22/2021,1520871.0,1518410.0
10,03/23/2021,1566078.0,1547962.0
11,03/24/2021,1543182.0,1532451.0
12,03/25/2021,1588776.0,1572905.0
13,03/26/2021,1548301.0,1570536.0
14,03/13/2021,1021951.0,1144789.0
15,03/14/2021,726872.0,831573.0
16,03/15/2021,1458829.0,1462110.0
17,03/16/2021,1523410.0,1516555.0
18,03/17/2021,1544583.0,1537347.0
19,03/18/2021,1481635.0,1479330.0
20,03/19/2021,1553277.0,1562471.0
21,03/06/2021,966419.0,1088808.0
22,03/07/2021,749479.0,864027.0
23,03/08/2021,1487471.0,1483242.0
24,03/09/2021,1561927.0,1558824.0
25,03/10/2021,1563249.0,1551098.0
26,03/11/2021,1584075.0,1590259.0
27,03/12/2021,1590751.0,1611297.0
28,02/27/2021,891269.0,998057.0
29,02/28/2021,681669.0,784233.0
30,03/01/2021,1478832.0,1475737.0
31,03/02/2021,1512280.0,1509935.0
32,03/03/2021,1564747.0,1557528.0
33,03/04/2021,1542037.0,1545372.0
34,03/05/2021,1533911.0,1553087.0
