,DATE,ENTRIES,EXITS
0,03/27/2021,1088864.0,1223959.0
1,03/28/2021,657368.0,763022.0
2,03/29/2021,1507823.0,1558001.0
3,03/30/2021,1619725.0,1673564.0
4,03/31/2021,1559922.0,1610014.0
5,04/01/2021,1568164.0,1621349.0
6,04/02/2021,1456268.0,1535756.0
7,03/20/2021,1034706.0,1168990.0
8,03/21/2021,808314.0,937719.0
9,03/22/2021,1565877.0,1596770.0
10,03/23/2021,1628428.0,1656133.0
11,03/24/2021,1597721.0,1622630.0
12,03/25/2021,1651219.0,1672136.0
13,03/26/2021,1615860.0,1672002.0
14,03/13/2021,1049140.0,1189883.0
15,03/14/2021,742346.0,850209.0
16,03/15/2021,1511357.0,1542743.0
17,03/16/2021,1567468.0,1591337.0
18,03/17/2021,1605053.0,1632221.0
19,03/18/2021,1528159.0,1561060.0
20,03/19/2021,1605088.0,1655875.0
21,03/06/2021,982447.0,1113725.0
22,03/07/2021,760690.0,875625.0
23,03/08/2021,1554580.0,1586993.0
24,03/09/2021,1635435.0,1676772.0
25,03/10/2021,1644373.0,1686273.0
26,03/11/2021,1672669.0,1728722.0
27,03/12/2021,1671360.0,1748063.0
28,02/27/2021,913645.0,1020967.0
29,02/28/2021,701689.0,802469.0
30,03/01/2021,1541900.0,1565037.0
31,03/02/2021,1581679.0,1608280.0
32,03/03/2021,1657461.0,1688992.0
33,03/04/2021,1620596.0,1654918.0
34,03/05/2021,1604961.0,1662844.0
