,DATE,ENTRIES,EXITS
0,03/27/2021,1083955.0,1229016.0
1,03/28/2021,649661.0,760976.0
2,03/29/2021,1501961.0,1556206.0
3,03/30/2021,1614600.0,1671698.0
4,03/31/2021,1555228.0,1606026.0
5,04/01/2021,1564387.0,1623081.0
6,04/02/2021,1455458.0,1543906.0
7,03/20/2021,1034688.0,1171042.0
8,03/21/2021,808559.0,938366.0
9,03/22/2021,1565875.0,1596081.0
10,03/23/2021,1626326.0,1652452.0
11,03/24/2021,1594435.0,1620990.0
12,03/25/2021,1645141.0,1675972.0
13,03/26/2021,1615168.0,1677428.0
14,03/13/2021,1047883.0,1192513.0
15,03/14/2021,743754.0,855327.0
16,03/15/2021,1508691.0,1539989.0
17,03/16/2021,1566408.0,1592523.0
18,03/17/2021,1603265.0,1636424.0
19,03/18/2021,1525315.0,1560610.0
20,03/19/2021,1605162.0,1657165.0
21,03/06/2021,979294.0,1109132.0
22,03/07/2021,756666.0,872231.0
23,03/08/2021,1550364.0,1584515.0
24,03/09/2021,1637459.0,1677084.0
25,03/10/2021,1642253.0,1687466.0
26,03/11/2021,1669605.0,1726432.0
27,03/12/2021,1668288.0,1745535.0
28,02/27/2021,908584.0,1022714.0
29,02/28/2021,693637.0,798062.0
30,03/01/2021,1535729.0,1564607.0
31,03/02/2021,1574522.0,1604159.0
32,03/03/2021,1650733.0,1686708.0
33,03/04/2021,1616766.0,1649187.0
34,03/05/2021,1602680.0,1662309.0
