,DATE,ENTRIES,EXITS
0,03/27/2021,1070679.0,1209636.0
1,03/28/2021,639829.0,751536.0
2,03/29/2021,1491520.0,1535886.0
3,03/30/2021,1602909.0,1647333.0
4,03/31/2021,1544518.0,1586721.0
5,04/01/2021,1553461.0,1604514.0
6,04/02/2021,1441789.0,1525883.0
7,03/20/2021,1022580.0,1153700.0
8,03/21/2021,797526.0,927212.0
9,03/22/2021,1555721.0,1576682.0
10,03/23/2021,1613200.0,1626759.0
11,03/24/2021,1580965.0,1598146.0
12,03/25/2021,1632557.0,1651788.0
13,03/26/2021,1603389.0,1655645.0
14,03/13/2021,1039356.0,1177124.0
15,03/14/2021,734701.0,842727.0
16,03/15/2021,1500264.0,1519427.0
17,03/16/2021,1558397.0,1568818.0
18,03/17/2021,1596078.0,1614512.0
19,03/18/2021,1519583.0,1542237.0
20,03/19/2021,1595717.0,1636308.0
21,03/06/2021,972289.0,1101864.0
22,03/07/2021,749477.0,865134.0
23,03/08/2021,1541912.0,1560661.0
24,03/09/2021,1625548.0,1655760.0
25,03/10/2021,1629572.0,1659702.0
26,03/11/2021,1659091.0,1697992.0
27,03/12/2021,1658734.0,1720495.0
28,02/27/2021,897118.0,1007375.0
29,02/28/2021,686074.0,789539.0
30,03/01/2021,1526404.0,1546930.0
31,03/02/2021,1566362.0,1583563.0
32,03/03/2021,1643802.0,1661344.0
33,03/04/2021,1603966.0,1626411.0
34,03/05/2021,1592150.0,1642083.0
