,DATE,ENTRIES,EXITS
0,03/27/2021,1062951.0,1198747.0
1,03/28/2021,636002.0,746754.0
2,03/29/2021,1484990.0,1523136.0
3,03/30/2021,1594651.0,1628058.0
4,03/31/2021,1537564.0,1568502.0
5,04/01/2021,1547261.0,1586884.0
6,04/02/2021,1435075.0,1507374.0
7,03/20/2021,1018294.0,1144061.0
8,03/21/2021,793930.0,921470.0
9,03/22/2021,1551438.0,1564064.0
10,03/23/2021,1607733.0,1612685.0
11,03/24/2021,1570200.0,1580963.0
12,03/25/2021,1626725.0,1634119.0
13,03/26/2021,1595860.0,1632894.0
14,03/13/2021,1032544.0,1164855.0
15,03/14/2021,730029.0,838883.0
16,03/15/2021,1495468.0,1505258.0
17,03/16/2021,1551827.0,1552184.0
18,03/17/2021,1588424.0,1598855.0
19,03/18/2021,1512795.0,1526810.0
20,03/19/2021,1589219.0,1618934.0
21,03/06/2021,969169.0,1095775.0
22,03/07/2021,745784.0,858376.0
23,03/08/2021,1534404.0,1538385.0
24,03/09/2021,1614257.0,1626039.0
25,03/10/2021,1618910.0,1631435.0
26,03/11/2021,1647568.0,1669503.0
27,03/12/2021,1643084.0,1691011.0
28,02/27/2021,892974.0,1000597.0
29,02/28/2021,681752.0,782843.0
30,03/01/2021,1520590.0,1524038.0
31,03/02/2021,1554577.0,1554884.0
32,03/03/2021,1628684.0,1625764.0
33,03/04/2021,1590900.0,1594833.0
34,03/05/2021,1578909.0,1612771.0
