,DATE,ENTRIES,EXITS
0,03/27/2021,1090886.0,1229383.0
1,03/28/2021,657005.0,762254.0
2,03/29/2021,1505597.0,1558373.0
3,03/30/2021,1618819.0,1672483.0
4,03/31/2021,1559049.0,1608831.0
5,04/01/2021,1568183.0,1625322.0
6,04/02/2021,1458182.0,1545634.0
7,03/20/2021,1033929.0,1169322.0
8,03/21/2021,807370.0,936543.0
9,03/22/2021,1565157.0,1597814.0
10,03/23/2021,1627785.0,1657464.0
11,03/24/2021,1595225.0,1620985.0
12,03/25/2021,1651943.0,1675985.0
13,03/26/2021,1621786.0,1678898.0
14,03/13/2021,1050577.0,1191141.0
15,03/14/2021,745162.0,855270.0
16,03/15/2021,1511251.0,1544070.0
17,03/16/2021,1567273.0,1595971.0
18,03/17/2021,1605189.0,1637044.0
19,03/18/2021,1527363.0,1559574.0
20,03/19/2021,1604509.0,1657930.0
21,03/06/2021,981644.0,1112510.0
22,03/07/2021,759742.0,874359.0
23,03/08/2021,1553803.0,1585659.0
24,03/09/2021,1632959.0,1675651.0
25,03/10/2021,1642023.0,1683385.0
26,03/11/2021,1671545.0,1727766.0
27,03/12/2021,1670069.0,1749327.0
28,02/27/2021,911946.0,1020625.0
29,02/28/2021,699935.0,799793.0
30,03/01/2021,1540766.0,1565739.0
31,03/02/2021,1581280.0,1606345.0
32,03/03/2021,1655212.0,1690104.0
33,03/04/2021,1619865.0,1654220.0
34,03/05/2021,1603969.0,1662275.0
