,DATE,ENTRIES,EXITS
0,03/27/2021,1042118.0,1168065.0
1,03/28/2021,634716.0,743783.0
2,03/29/2021,1440984.0,1460533.0
3,03/30/2021,1535653.0,1556700.0
4,03/31/2021,1488043.0,1509094.0
5,04/01/2021,1497652.0,1519010.0
6,04/02/2021,1399003.0,1450246.0
7,03/20/2021,1003264.0,1121212.0
8,03/21/2021,787846.0,913889.0
9,03/22/2021,1503020.0,1504989.0
10,03/23/2021,1551633.0,1539799.0
11,03/24/2021,1521883.0,1519015.0
12,03/25/2021,1570937.0,1557469.0
13,03/26/2021,1541900.0,1555324.0
14,03/13/2021,1014890.0,1138062.0
15,03/14/2021,726148.0,832578.0
16,03/15/2021,1456912.0,1456200.0
17,03/16/2021,1508278.0,1504516.0
18,03/17/2021,1533263.0,1534746.0
19,03/18/2021,1469951.0,1472011.0
20,03/19/2021,1535959.0,1548633.0
21,03/06/2021,959702.0,1076412.0
22,03/07/2021,743477.0,852287.0
23,03/08/2021,1480779.0,1474712.0
24,03/09/2021,1553438.0,1549691.0
25,03/10/2021,1554526.0,1548813.0
26,03/11/2021,1580364.0,1590442.0
27,03/12/2021,1575681.0,1599356.0
28,02/27/2021,884300.0,985158.0
29,02/28/2021,680112.0,778234.0
30,03/01/2021,1473661.0,1467521.0
31,03/02/2021,1502041.0,1494899.0
32,03/03/2021,1568195.0,1555090.0
33,03/04/2021,1534593.0,1526692.0
34,03/05/2021,1525644.0,1543908.0
