,DATE,ENTRIES,EXITS
0,03/27/2021,1058534.0,1186302.0
1,03/28/2021,634395.0,744165.0
2,03/29/2021,1476778.0,1503549.0
3,03/30/2021,1579805.0,1602898.0
4,03/31/2021,1527723.0,1547435.0
5,04/01/2021,1537182.0,1562607.0
6,04/02/2021,1429050.0,1490237.0
7,03/20/2021,1014542.0,1136579.0
8,03/21/2021,790888.0,916084.0
9,03/22/2021,1536211.0,1541297.0
10,03/23/2021,1591129.0,1588078.0
11,03/24/2021,1563291.0,1567258.0
12,03/25/2021,1608436.0,1604889.0
13,03/26/2021,1576315.0,1602616.0
14,03/13/2021,1027874.0,1154802.0
15,03/14/2021,727532.0,832958.0
16,03/15/2021,1481381.0,1491969.0
17,03/16/2021,1539715.0,1537138.0
18,03/17/2021,1571520.0,1573449.0
19,03/18/2021,1503547.0,1511586.0
20,03/19/2021,1576756.0,1593148.0
21,03/06/2021,966105.0,1087436.0
22,03/07/2021,743799.0,857329.0
23,03/08/2021,1515177.0,1505676.0
24,03/09/2021,1594377.0,1597401.0
25,03/10/2021,1599593.0,1597572.0
26,03/11/2021,1626344.0,1635674.0
27,03/12/2021,1619702.0,1651038.0
28,02/27/2021,890706.0,996716.0
29,02/28/2021,681153.0,782295.0
30,03/01/2021,1503584.0,1493120.0
31,03/02/2021,1539124.0,1526208.0
32,03/03/2021,1611961.0,1599049.0
33,03/04/2021,1575496.0,1569551.0
34,03/05/2021,1564899.0,1585816.0
