,DATE,ENTRIES,EXITS
0,03/27/2021,1083560.0,1227766.0
1,03/28/2021,649535.0,759806.0
2,03/29/2021,1501156.0,1551705.0
3,03/30/2021,1614484.0,1670311.0
4,03/31/2021,1555621.0,1606206.0
5,04/01/2021,1564800.0,1623258.0
6,04/02/2021,1454329.0,1543408.0
7,03/20/2021,1033313.0,1169058.0
8,03/21/2021,806502.0,936740.0
9,03/22/2021,1563733.0,1593157.0
10,03/23/2021,1624349.0,1651239.0
11,03/24/2021,1591253.0,1619971.0
12,03/25/2021,1645058.0,1674630.0
13,03/26/2021,1614014.0,1675864.0
14,03/13/2021,1046692.0,1191821.0
15,03/14/2021,741753.0,853700.0
16,03/15/2021,1507012.0,1538309.0
17,03/16/2021,1565142.0,1590465.0
18,03/17/2021,1602074.0,1635732.0
19,03/18/2021,1525030.0,1557672.0
20,03/19/2021,1603509.0,1655005.0
21,03/06/2021,978104.0,1108474.0
22,03/07/2021,754382.0,870891.0
23,03/08/2021,1549030.0,1581135.0
24,03/09/2021,1636182.0,1674997.0
25,03/10/2021,1640135.0,1684907.0
26,03/11/2021,1668006.0,1722759.0
27,03/12/2021,1667097.0,1744843.0
28,02/27/2021,904164.0,1019869.0
29,02/28/2021,691185.0,798185.0
30,03/01/2021,1533404.0,1562822.0
31,03/02/2021,1572326.0,1601839.0
32,03/03/2021,1649951.0,1683720.0
33,03/04/2021,1615577.0,1647185.0
34,03/05/2021,1601732.0,1658942.0
