,DATE,ENTRIES,EXITS
0,03/27/2021,1079257.0,1213404.0
1,03/28/2021,649207.0,758136.0
2,03/29/2021,1495511.0,1536657.0
3,03/30/2021,1603199.0,1649119.0
4,03/31/2021,1547917.0,1586872.0
5,04/01/2021,1558049.0,1602630.0
6,04/02/2021,1446153.0,1518698.0
7,03/20/2021,1031274.0,1164369.0
8,03/21/2021,804478.0,932870.0
9,03/22/2021,1555294.0,1577421.0
10,03/23/2021,1610178.0,1627809.0
11,03/24/2021,1581199.0,1600498.0
12,03/25/2021,1633820.0,1651684.0
13,03/26/2021,1599492.0,1650105.0
14,03/13/2021,1039135.0,1174771.0
15,03/14/2021,736465.0,845302.0
16,03/15/2021,1501410.0,1524560.0
17,03/16/2021,1561598.0,1579997.0
18,03/17/2021,1588760.0,1612703.0
19,03/18/2021,1520358.0,1544162.0
20,03/19/2021,1594174.0,1632611.0
21,03/06/2021,977873.0,1108280.0
22,03/07/2021,754291.0,870766.0
23,03/08/2021,1542037.0,1563264.0
24,03/09/2021,1618407.0,1645382.0
25,03/10/2021,1622872.0,1650629.0
26,03/11/2021,1652622.0,1693474.0
27,03/12/2021,1653156.0,1712982.0
28,02/27/2021,900924.0,1012461.0
29,02/28/2021,689799.0,794436.0
30,03/01/2021,1526704.0,1545866.0
31,03/02/2021,1562528.0,1579893.0
32,03/03/2021,1634326.0,1655105.0
33,03/04/2021,1600785.0,1623252.0
34,03/05/2021,1592206.0,1637350.0
