,DATE,ENTRIES,EXITS
0,03/27/2021,1069894.0,1197420.0
1,03/28/2021,643398.0,750638.0
2,03/29/2021,1475327.0,1505703.0
3,03/30/2021,1576860.0,1603494.0
4,03/31/2021,1523245.0,1546208.0
5,04/01/2021,1531056.0,1567063.0
6,04/02/2021,1423373.0,1486191.0
7,03/20/2021,1021791.0,1148873.0
8,03/21/2021,799290.0,926285.0
9,03/22/2021,1535944.0,1550024.0
10,03/23/2021,1588868.0,1589397.0
11,03/24/2021,1564107.0,1565523.0
12,03/25/2021,1607348.0,1605059.0
13,03/26/2021,1572952.0,1605657.0
14,03/13/2021,1031970.0,1157482.0
15,03/14/2021,732233.0,835630.0
16,03/15/2021,1483176.0,1497006.0
17,03/16/2021,1538907.0,1546309.0
18,03/17/2021,1567994.0,1578626.0
19,03/18/2021,1502617.0,1514876.0
20,03/19/2021,1569774.0,1593117.0
21,03/06/2021,973568.0,1097768.0
22,03/07/2021,752890.0,866584.0
23,03/08/2021,1512915.0,1526850.0
24,03/09/2021,1585997.0,1597238.0
25,03/10/2021,1590664.0,1596896.0
26,03/11/2021,1614140.0,1635627.0
27,03/12/2021,1613563.0,1650059.0
28,02/27/2021,896201.0,1003460.0
29,02/28/2021,687097.0,787908.0
30,03/01/2021,1495538.0,1505221.0
31,03/02/2021,1531003.0,1538037.0
32,03/03/2021,1598497.0,1601369.0
33,03/04/2021,1566065.0,1576138.0
34,03/05/2021,1558035.0,1593179.0
