,DATE,ENTRIES,EXITS
0,03/27/2021,1083953.0,1229005.0
1,03/28/2021,649661.0,760975.0
2,03/29/2021,1501961.0,1556198.0
3,03/30/2021,1614235.0,1671621.0
4,03/31/2021,1555228.0,1606026.0
5,04/01/2021,1564387.0,1623078.0
6,04/02/2021,1455448.0,1543888.0
7,03/20/2021,1034688.0,1171042.0
8,03/21/2021,808559.0,938366.0
9,03/22/2021,1565875.0,1596081.0
10,03/23/2021,1626326.0,1652452.0
11,03/24/2021,1594377.0,1620890.0
12,03/25/2021,1644996.0,1675806.0
13,03/26/2021,1615168.0,1677428.0
14,03/13/2021,1047419.0,1190396.0
15,03/14/2021,743754.0,855327.0
16,03/15/2021,1508480.0,1539778.0
17,03/16/2021,1566408.0,1592523.0
18,03/17/2021,1603265.0,1636424.0
19,03/18/2021,1525304.0,1560555.0
20,03/19/2021,1605162.0,1657165.0
21,03/06/2021,979194.0,1108970.0
22,03/07/2021,756666.0,872231.0
23,03/08/2021,1550186.0,1583351.0
24,03/09/2021,1637282.0,1675609.0
25,03/10/2021,1642061.0,1686211.0
26,03/11/2021,1669389.0,1724415.0
27,03/12/2021,1667974.0,1743864.0
28,02/27/2021,908420.0,1021619.0
29,02/28/2021,693621.0,797981.0
30,03/01/2021,1535546.0,1563108.0
31,03/02/2021,1574349.0,1602535.0
32,03/03/2021,1650555.0,1685396.0
33,03/04/2021,1616318.0,1647165.0
34,03/05/2021,1602429.0,1660149.0
