,DATE,ENTRIES,EXITS
0,03/27/2021,1090697.0,1232780.0
1,03/28/2021,657466.0,763420.0
2,03/29/2021,1508040.0,1559926.0
3,03/30/2021,1620265.0,1677214.0
4,03/31/2021,1560041.0,1611603.0
5,04/01/2021,1569205.0,1628520.0
6,04/02/2021,1459463.0,1547907.0
7,03/20/2021,1035987.0,1172531.0
8,03/21/2021,809031.0,939413.0
9,03/22/2021,1566126.0,1599117.0
10,03/23/2021,1628749.0,1658766.0
11,03/24/2021,1597908.0,1624615.0
12,03/25/2021,1651908.0,1680164.0
13,03/26/2021,1620972.0,1681702.0
14,03/13/2021,1051701.0,1194511.0
15,03/14/2021,746822.0,857836.0
16,03/15/2021,1512746.0,1545342.0
17,03/16/2021,1568541.0,1597875.0
18,03/17/2021,1606272.0,1639974.0
19,03/18/2021,1528520.0,1562639.0
20,03/19/2021,1605877.0,1659295.0
21,03/06/2021,982578.0,1113757.0
22,03/07/2021,760781.0,875750.0
23,03/08/2021,1556194.0,1590513.0
24,03/09/2021,1643990.0,1685110.0
25,03/10/2021,1649178.0,1700858.0
26,03/11/2021,1675030.0,1734011.0
27,03/12/2021,1672731.0,1753792.0
28,02/27/2021,916329.0,1028156.0
29,02/28/2021,701900.0,803363.0
30,03/01/2021,1543956.0,1572057.0
31,03/02/2021,1583155.0,1611645.0
32,03/03/2021,1658979.0,1694785.0
33,03/04/2021,1621756.0,1658884.0
34,03/05/2021,1606991.0,1667436.0
