,STATION,DATE,ENTRIES,EXITS
0,59 ST,03/27/2021,12185,17655
1,59 ST,03/28/2021,7101,10366
2,59 ST,03/29/2021,18765,22975
3,59 ST,03/30/2021,19969,24693
4,59 ST,03/31/2021,19258,23460
5,59 ST,04/01/2021,18853,23777
6,59 ST,04/02/2021,16408,21063
7,59 ST,03/20/2021,11706,15585
8,59 ST,03/21/2021,8324,11925
9,59 ST,03/22/2021,18366,22088
10,59 ST,03/23/2021,19249,22667
11,59 ST,03/24/2021,19631,22841
12,59 ST,03/25/2021,19503,24231
13,59 ST,03/26/2021,18623,23306
14,59 ST,03/13/2021,12097,15574
15,59 ST,03/14/2021,7569,10506
16,59 ST,03/15/2021,18097,22408
17,59 ST,03/16/2021,18792,23146
18,59 ST,03/17/2021,19284,23903
19,59 ST,03/18/2021,18502,22956
20,59 ST,03/19/2021,19130,23495
21,59 ST,03/06/2021,11610,14648
22,59 ST,03/07/2021,8208,11219
23,59 ST,03/08/2021,19775,23085
24,59 ST,03/09/2021,20852,24785
25,59 ST,03/10/2021,21106,24927
26,59 ST,03/11/2021,20927,24931
27,59 ST,03/12/2021,20730,25112
28,59 ST,02/27/2021,11049,14027
29,59 ST,02/28/2021,8065,10610
30,59 ST,03/01/2021,19406,22843
31,59 ST,03/02/2021,20212,23767
32,59 ST,03/03/2021,21230,25060
33,59 ST,03/04/2021,20619,24488
34,59 ST,03/05/2021,20300,23924
35,5 AV/59 ST,03/27/2021,3301,3916
36,5 AV/59 ST,03/28/2021,1226,1463
37,5 AV/59 ST,03/29/2021,4032,4169
38,5 AV/59 ST,03/30/2021,4614,4884
39,5 AV/59 ST,03/31/2021,3976,3806
40,5 AV/59 ST,04/01/2021,4067,4084
41,5 AV/59 ST,04/02/2021,3266,3584
42,5 AV/59 ST,03/20/2021,2686,2806
43,5 AV/59 ST,03/21/2021,2325,2415
44,5 AV/59 ST,03/22/2021,3864,3860
45,5 AV/59 ST,03/23/2021,3981,4109
46,5 AV/59 ST,03/24/2021,3681,3682
47,5 AV/59 ST,03/25/2021,3932,4085
48,5 AV/59 ST,03/26/2021,3869,3896
49,5 AV/59 ST,03/13/2021,2660,3099
50,5 AV/59 ST,03/14/2021,1953,2268
51,5 AV/59 ST,03/15/2021,3621,3645
52,5 AV/59 ST,03/16/2021,3651,3879
53,5 AV/59 ST,03/17/2021,3821,3918
54,5 AV/59 ST,03/18/2021,3648,3610
55,5 AV/59 ST,03/19/2021,3742,3847
56,5 AV/59 ST,03/06/2021,2215,2511
57,5 AV/59 ST,03/07/2021,1647,1891
58,5 AV/59 ST,03/08/2021,3478,3577
59,5 AV/59 ST,03/09/2021,3954,4045
60,5 AV/59 ST,03/10/2021,3741,3929
61,5 AV/59 ST,03/11/2021,4028,4190
62,5 AV/59 ST,03/12/2021,3861,4090
63,5 AV/59 ST,02/27/2021,1698,2159
64,5 AV/59 ST,02/28/2021,1206,1457
65,5 AV/59 ST,03/01/2021,3381,3469
66,5 AV/59 ST,03/02/2021,3576,3700
67,5 AV/59 ST,03/03/2021,3711,3880
68,5 AV/59 ST,03/04/2021,3611,3747
69,5 AV/59 ST,03/05/2021,3458,3616
70,57 ST-7 AV,03/27/2021,3926,4822
71,57 ST-7 AV,03/28/2021,2188,2660
72,57 ST-7 AV,03/29/2021,5740,5920
73,57 ST-7 AV,03/30/2021,6167,6721
74,57 ST-7 AV,03/31/2021,6171,6436
75,57 ST-7 AV,04/01/2021,5945,6718
76,57 ST-7 AV,04/02/2021,5529,6247
77,57 ST-7 AV,03/20/2021,4291,5963
78,57 ST-7 AV,03/21/2021,3366,4663
79,57 ST-7 AV,03/22/2021,5808,5786
80,57 ST-7 AV,03/23/2021,5891,6249
81,57 ST-7 AV,03/24/2021,5915,6044
82,57 ST-7 AV,03/25/2021,5964,6341
83,57 ST-7 AV,03/26/2021,5783,6539
84,57 ST-7 AV,03/13/2021,4909,5946
85,57 ST-7 AV,03/14/2021,2987,3727
86,57 ST-7 AV,03/15/2021,5486,5718
87,57 ST-7 AV,03/16/2021,5838,5906
88,57 ST-7 AV,03/17/2021,5989,6274
89,57 ST-7 AV,03/18/2021,5752,5978
90,57 ST-7 AV,03/19/2021,5700,6466
91,57 ST-7 AV,03/06/2021,4454,5292
92,57 ST-7 AV,03/07/2021,3258,3745
93,57 ST-7 AV,03/08/2021,6136,5890
94,57 ST-7 AV,03/09/2021,6469,6352
95,57 ST-7 AV,03/10/2021,6654,6695
96,57 ST-7 AV,03/11/2021,6325,6674
97,57 ST-7 AV,03/12/2021,6559,7104
98,57 ST-7 AV,02/27/2021,4171,5093
99,57 ST-7 AV,02/28/2021,2992,3494
100,57 ST-7 AV,03/01/2021,6157,5703
101,57 ST-7 AV,03/02/2021,6372,6075
102,57 ST-7 AV,03/03/2021,6789,6465
103,57 ST-7 AV,03/04/2021,6521,6386
104,57 ST-7 AV,03/05/2021,6260,6391
105,49 ST,03/27/2021,2448,3985
106,49 ST,03/28/2021,1453,2493
107,49 ST,03/29/2021,2896,4286
108,49 ST,03/30/2021,3107,4462
109,49 ST,03/31/2021,3004,4410
110,49 ST,04/01/2021,3052,4686
111,49 ST,04/02/2021,2913,4415
112,49 ST,03/20/2021,2272,3819
113,49 ST,03/21/2021,1822,2816
114,49 ST,03/22/2021,2825,3986
115,49 ST,03/23/2021,2890,4228
116,49 ST,03/24/2021,2881,4277
117,49 ST,03/25/2021,2897,4445
118,49 ST,03/26/2021,2882,4522
119,49 ST,03/13/2021,2619,4068
120,49 ST,03/14/2021,1476,2392
121,49 ST,03/15/2021,2658,3894
122,49 ST,03/16/2021,2858,4102
123,49 ST,03/17/2021,2870,4447
124,49 ST,03/18/2021,2740,4230
125,49 ST,03/19/2021,2846,4501
126,49 ST,03/06/2021,2428,3713
127,49 ST,03/07/2021,1761,2829
128,49 ST,03/08/2021,2923,4267
129,49 ST,03/09/2021,3151,4347
130,49 ST,03/10/2021,3167,4448
131,49 ST,03/11/2021,3200,4571
132,49 ST,03/12/2021,3371,4886
133,49 ST,02/27/2021,2210,3815
134,49 ST,02/28/2021,1600,2493
135,49 ST,03/01/2021,2817,4032
136,49 ST,03/02/2021,2902,4230
137,49 ST,03/03/2021,3034,4514
138,49 ST,03/04/2021,3024,4347
139,49 ST,03/05/2021,3126,4642
140,TIMES SQ-42 ST,03/27/2021,11328,16515
141,TIMES SQ-42 ST,03/28/2021,6345,9051
142,TIMES SQ-42 ST,03/29/2021,15596,19977
143,TIMES SQ-42 ST,03/30/2021,16324,22039
144,TIMES SQ-42 ST,03/31/2021,16527,21398
145,TIMES SQ-42 ST,04/01/2021,15879,21639
146,TIMES SQ-42 ST,04/02/2021,14666,20259
147,TIMES SQ-42 ST,03/20/2021,10855,16746
148,TIMES SQ-42 ST,03/21/2021,7994,12100
149,TIMES SQ-42 ST,03/22/2021,15514,19521
150,TIMES SQ-42 ST,03/23/2021,15643,20491
151,TIMES SQ-42 ST,03/24/2021,15733,19695
152,TIMES SQ-42 ST,03/25/2021,14526,19292
153,TIMES SQ-42 ST,03/26/2021,15264,21102
154,TIMES SQ-42 ST,03/13/2021,12062,18403
155,TIMES SQ-42 ST,03/14/2021,7163,10609
156,TIMES SQ-42 ST,03/15/2021,14552,18548
157,TIMES SQ-42 ST,03/16/2021,15370,19436
158,TIMES SQ-42 ST,03/17/2021,15357,20264
159,TIMES SQ-42 ST,03/18/2021,14457,18824
160,TIMES SQ-42 ST,03/19/2021,15091,20847
161,TIMES SQ-42 ST,03/06/2021,10823,16527
162,TIMES SQ-42 ST,03/07/2021,8343,11524
163,TIMES SQ-42 ST,03/08/2021,16636,19196
164,TIMES SQ-42 ST,03/09/2021,18217,21626
165,TIMES SQ-42 ST,03/10/2021,17429,21265
166,TIMES SQ-42 ST,03/11/2021,17493,21713
167,TIMES SQ-42 ST,03/12/2021,17367,23056
168,TIMES SQ-42 ST,02/27/2021,9616,14970
169,TIMES SQ-42 ST,02/28/2021,6660,10014
170,TIMES SQ-42 ST,03/01/2021,15657,19149
171,TIMES SQ-42 ST,03/02/2021,15877,19590
172,TIMES SQ-42 ST,03/03/2021,17345,21121
173,TIMES SQ-42 ST,03/04/2021,16627,20417
174,TIMES SQ-42 ST,03/05/2021,16128,20795
175,34 ST-HERALD SQ,03/27/2021,17414,25255
176,34 ST-HERALD SQ,03/28/2021,9984,14612
177,34 ST-HERALD SQ,03/29/2021,23206,29476
178,34 ST-HERALD SQ,03/30/2021,24887,31718
179,34 ST-HERALD SQ,03/31/2021,24719,30596
180,34 ST-HERALD SQ,04/01/2021,24203,30405
181,34 ST-HERALD SQ,04/02/2021,23266,30943
182,34 ST-HERALD SQ,03/20/2021,15750,23349
183,34 ST-HERALD SQ,03/21/2021,12601,17996
184,34 ST-HERALD SQ,03/22/2021,23287,28933
185,34 ST-HERALD SQ,03/23/2021,23609,30037
186,34 ST-HERALD SQ,03/24/2021,23131,28907
187,34 ST-HERALD SQ,03/25/2021,23778,30265
188,34 ST-HERALD SQ,03/26/2021,23334,30801
189,34 ST-HERALD SQ,03/13/2021,17900,24862
190,34 ST-HERALD SQ,03/14/2021,11105,16224
191,34 ST-HERALD SQ,03/15/2021,23414,29403
192,34 ST-HERALD SQ,03/16/2021,24580,30753
193,34 ST-HERALD SQ,03/17/2021,23536,29837
