,DATE,STATION,ENTRIES,EXITS
570,02/15/2021,NEWARK HW BMEBE,434,946
571,02/15/2021,HARRISON,1203,1464
572,02/15/2021,JOURNAL SQUARE,6167,5419
573,02/15/2021,GROVE STREET,2883,3370
574,02/15/2021,EXCHANGE PLACE,1671,2153
575,02/15/2021,PAVONIA/NEWPORT,2022,2187
576,02/15/2021,CITY / BUS,2043,2302
577,02/15/2021,CHRISTOPHER ST,669,784
578,02/15/2021,9TH STREET,729,1068
579,02/15/2021,14TH STREET,1365,1992
580,02/15/2021,TWENTY THIRD ST,1066,1449
581,02/15/2021,THIRTY ST,1853,3347
582,02/15/2021,LACKAWANNA,551,724
583,02/15/2021,THIRTY THIRD ST,3064,1455
584,02/15/2021,NEWARK BM BW,3718,353
585,02/15/2021,NEWARK C,630,159
586,02/15/2021,NEWARK HM HE,0,3822
587,02/15/2021,PATH WTC 2,662,2663
588,02/15/2021,PATH NEW WTC,7199,6723
589,02/16/2021,NEWARK HW BMEBE,852,1405
590,02/16/2021,HARRISON,2025,2410
591,02/16/2021,JOURNAL SQUARE,8339,6727
592,02/16/2021,GROVE STREET,3820,4373
593,02/16/2021,EXCHANGE PLACE,2594,3191
594,02/16/2021,PAVONIA/NEWPORT,2358,2952
595,02/16/2021,CITY / BUS,2728,3047
596,02/16/2021,CHRISTOPHER ST,865,981
597,02/16/2021,9TH STREET,890,1204
598,02/16/2021,14TH STREET,1875,2323
599,02/16/2021,TWENTY THIRD ST,1609,2120
600,02/16/2021,THIRTY ST,2500,2492
601,02/16/2021,LACKAWANNA,1261,1476
602,02/16/2021,THIRTY THIRD ST,4354,3728
603,02/16/2021,NEWARK BM BW,4925,344
604,02/16/2021,NEWARK C,1040,265
605,02/16/2021,NEWARK HM HE,0,4463
606,02/16/2021,PATH WTC 2,938,3174
607,02/16/2021,PATH NEW WTC,11229,11015
608,02/17/2021,NEWARK HW BMEBE,934,1502
609,02/17/2021,HARRISON,2143,2431
610,02/17/2021,JOURNAL SQUARE,8962,7247
611,02/17/2021,GROVE STREET,4162,4424
612,02/17/2021,EXCHANGE PLACE,2567,3234
613,02/17/2021,PAVONIA/NEWPORT,2579,2706
614,02/17/2021,CITY / BUS,3031,3220
615,02/17/2021,CHRISTOPHER ST,857,962
616,02/17/2021,9TH STREET,904,1194
617,02/17/2021,14TH STREET,2025,2580
618,02/17/2021,TWENTY THIRD ST,1768,2241
619,02/17/2021,THIRTY ST,2539,3076
620,02/17/2021,LACKAWANNA,1454,1599
621,02/17/2021,THIRTY THIRD ST,4409,3889
622,02/17/2021,NEWARK BM BW,4861,286
623,02/17/2021,NEWARK C,1021,285
624,02/17/2021,NEWARK HM HE,0,5885
625,02/17/2021,PATH WTC 2,1138,3453
626,02/17/2021,PATH NEW WTC,12154,11900
627,02/18/2021,NEWARK HW BMEBE,556,972
628,02/18/2021,HARRISON,1342,1657
629,02/18/2021,JOURNAL SQUARE,5972,5008
630,02/18/2021,GROVE STREET,2687,3208
631,02/18/2021,EXCHANGE PLACE,1732,2250
632,02/18/2021,PAVONIA/NEWPORT,1501,1909
633,02/18/2021,CITY / BUS,1925,2189
634,02/18/2021,CHRISTOPHER ST,531,623
635,02/18/2021,9TH STREET,542,794
636,02/18/2021,14TH STREET,1349,1806
637,02/18/2021,TWENTY THIRD ST,1081,1475
638,02/18/2021,THIRTY ST,1752,2161
639,02/18/2021,LACKAWANNA,899,1028
640,02/18/2021,THIRTY THIRD ST,3106,2586
641,02/18/2021,NEWARK BM BW,3282,261
642,02/18/2021,NEWARK C,665,232
643,02/18/2021,NEWARK HM HE,0,3899
644,02/18/2021,PATH WTC 2,790,2244
645,02/18/2021,PATH NEW WTC,8060,7970
646,02/19/2021,NEWARK HW BMEBE,469,1314
647,02/19/2021,HARRISON,1317,2060
648,02/19/2021,JOURNAL SQUARE,7505,6016
649,02/19/2021,GROVE STREET,3620,4178
650,02/19/2021,EXCHANGE PLACE,2269,2757
651,02/19/2021,PAVONIA/NEWPORT,2324,2762
652,02/19/2021,CITY / BUS,2532,2896
653,02/19/2021,CHRISTOPHER ST,810,939
654,02/19/2021,9TH STREET,776,1156
655,02/19/2021,14TH STREET,1676,2223
656,02/19/2021,TWENTY THIRD ST,1330,1796
657,02/19/2021,THIRTY ST,2198,2883
658,02/19/2021,LACKAWANNA,987,1172
659,02/19/2021,THIRTY THIRD ST,3586,2567
660,02/19/2021,NEWARK BM BW,3643,703
661,02/19/2021,NEWARK C,678,287
662,02/19/2021,NEWARK HM HE,0,4539
663,02/19/2021,PATH WTC 2,740,1614
664,02/19/2021,PATH NEW WTC,9381,9354
665,02/06/2021,NEWARK HW BMEBE,379,664
666,02/06/2021,HARRISON,1155,1344
667,02/06/2021,JOURNAL SQUARE,5934,5217
668,02/06/2021,GROVE STREET,3379,4352
669,02/06/2021,EXCHANGE PLACE,1789,2588
670,02/06/2021,PAVONIA/NEWPORT,2844,3738
671,02/06/2021,CITY / BUS,1902,1969
672,02/06/2021,CHRISTOPHER ST,882,1049
673,02/06/2021,9TH STREET,1054,1291
674,02/06/2021,14TH STREET,1554,2003
675,02/06/2021,TWENTY THIRD ST,1173,1420
676,02/06/2021,THIRTY ST,1207,450
677,02/06/2021,LACKAWANNA,381,630
678,02/06/2021,THIRTY THIRD ST,3459,2948
679,02/06/2021,NEWARK BM BW,3032,324
680,02/06/2021,NEWARK C,421,142
681,02/06/2021,NEWARK HM HE,0,3796
682,02/06/2021,PATH WTC 2,796,2004
683,02/06/2021,PATH NEW WTC,6913,6785
684,02/07/2021,NEWARK HW BMEBE,146,336
685,02/07/2021,HARRISON,422,607
686,02/07/2021,JOURNAL SQUARE,2795,2833
687,02/07/2021,GROVE STREET,1498,2022
688,02/07/2021,EXCHANGE PLACE,658,1125
689,02/07/2021,PAVONIA/NEWPORT,859,989
690,02/07/2021,CITY / BUS,821,1401
691,02/07/2021,CHRISTOPHER ST,347,368
692,02/07/2021,9TH STREET,400,553
693,02/07/2021,14TH STREET,804,986
694,02/07/2021,TWENTY THIRD ST,411,613
695,02/07/2021,THIRTY ST,645,1315
696,02/07/2021,LACKAWANNA,175,323
697,02/07/2021,THIRTY THIRD ST,1465,677
698,02/07/2021,NEWARK BM BW,1393,276
699,02/07/2021,NEWARK C,180,127
700,02/07/2021,NEWARK HM HE,0,1790
701,02/07/2021,PATH WTC 2,444,1169
702,02/07/2021,PATH NEW WTC,3033,2952
703,02/08/2021,NEWARK HW BMEBE,800,1389
704,02/08/2021,HARRISON,1959,2281
705,02/08/2021,JOURNAL SQUARE,8458,6678
706,02/08/2021,GROVE STREET,3632,4211
707,02/08/2021,EXCHANGE PLACE,2488,3136
708,02/08/2021,PAVONIA/NEWPORT,2355,2840
709,02/08/2021,CITY / BUS,2727,2944
710,02/08/2021,CHRISTOPHER ST,792,891
711,02/08/2021,9TH STREET,839,1101
712,02/08/2021,14TH STREET,1818,2454
713,02/08/2021,TWENTY THIRD ST,1609,2016
714,02/08/2021,THIRTY ST,2412,3072
715,02/08/2021,LACKAWANNA,1199,1453
716,02/08/2021,THIRTY THIRD ST,4038,2759
717,02/08/2021,NEWARK BM BW,4727,271
718,02/08/2021,NEWARK C,1081,174
719,02/08/2021,NEWARK HM HE,0,5260
720,02/08/2021,PATH WTC 2,1022,3141
721,02/08/2021,PATH NEW WTC,10878,10618
722,02/09/2021,NEWARK HW BMEBE,842,1335
723,02/09/2021,HARRISON,1985,2324
724,02/09/2021,JOURNAL SQUARE,8381,6938
725,02/09/2021,GROVE STREET,3798,4590
726,02/09/2021,EXCHANGE PLACE,2685,3328
727,02/09/2021,PAVONIA/NEWPORT,2319,2880
728,02/09/2021,CITY / BUS,2858,2948
729,02/09/2021,CHRISTOPHER ST,874,933
730,02/09/2021,9TH STREET,893,1183
731,02/09/2021,14TH STREET,1901,2406
732,02/09/2021,TWENTY THIRD ST,1574,2138
733,02/09/2021,THIRTY ST,2557,2836
734,02/09/2021,LACKAWANNA,1240,1468
735,02/09/2021,THIRTY THIRD ST,4273,3446
736,02/09/2021,NEWARK BM BW,4693,270
737,02/09/2021,NEWARK C,976,264
738,02/09/2021,NEWARK HM HE,0,5030
739,02/09/2021,PATH WTC 2,1050,3175
740,02/09/2021,PATH NEW WTC,11154,10872
741,02/10/2021,NEWARK HW BMEBE,975,1497
742,02/10/2021,HARRISON,2110,2282
743,02/10/2021,JOURNAL SQUARE,8943,7415
744,02/10/2021,GROVE STREET,4076,4637
745,02/10/2021,EXCHANGE PLACE,2640,3075
746,02/10/2021,PAVONIA/NEWPORT,2461,3013
747,02/10/2021,CITY / BUS,2969,3352
748,02/10/2021,CHRISTOPHER ST,888,1031
749,02/10/2021,9TH STREET,897,1223
750,02/10/2021,14TH STREET,2058,2754
751,02/10/2021,TWENTY THIRD ST,1796,2194
752,02/10/2021,THIRTY ST,2589,3377
753,02/10/2021,LACKAWANNA,1403,1609
754,02/10/2021,THIRTY THIRD ST,4364,3547
755,02/10/2021,NEWARK BM BW,5001,320
756,02/10/2021,NEWARK C,1052,278
757,02/10/2021,NEWARK HM HE,0,3874
758,02/10/2021,PATH WTC 2,1188,3412
759,02/10/2021,PATH NEW WTC,12108,11726
760,02/11/2021,NEWARK HW BMEBE,858,1380
761,02/11/2021,HARRISON,2008,2325
762,02/11/2021,JOURNAL SQUARE,8655,7141
763,02/11/2021,GROVE STREET,4083,4792
764,02/11/2021,EXCHANGE PLACE,2657,3304
765,02/11/2021,PAVONIA/NEWPORT,2482,2988
766,02/11/2021,CITY / BUS,3026,2570
767,02/11/2021,CHRISTOPHER ST,872,963
768,02/11/2021,9TH STREET,998,1234
769,02/11/2021,14TH STREET,2170,2569
770,02/11/2021,TWENTY THIRD ST,1678,2130
771,02/11/2021,THIRTY ST,2481,3077
772,02/11/2021,LACKAWANNA,1287,1562
773,02/11/2021,THIRTY THIRD ST,4435,3619
774,02/11/2021,NEWARK BM BW,4809,286
775,02/11/2021,NEWARK C,1087,234
776,02/11/2021,NEWARK HM HE,0,5313
777,02/11/2021,PATH WTC 2,961,3184
778,02/11/2021,PATH NEW WTC,11587,11450
779,02/12/2021,NEWARK HW BMEBE,841,1490
780,02/12/2021,HARRISON,1998,2302
781,02/12/2021,JOURNAL SQUARE,8829,7187
782,02/12/2021,GROVE STREET,4307,5061
783,02/12/2021,EXCHANGE PLACE,2679,3260
784,02/12/2021,PAVONIA/NEWPORT,2890,3549
785,02/12/2021,CITY / BUS,3082,3448
786,02/12/2021,CHRISTOPHER ST,963,1086
787,02/12/2021,9TH STREET,1008,1313
788,02/12/2021,14TH STREET,2182,2762
789,02/12/2021,TWENTY THIRD ST,1613,2041
790,02/12/2021,THIRTY ST,2564,3268
791,02/12/2021,LACKAWANNA,1222,1500
792,02/12/2021,THIRTY THIRD ST,4367,3316
793,02/12/2021,NEWARK BM BW,4816,274
794,02/12/2021,NEWARK C,1098,185
795,02/12/2021,NEWARK HM HE,0,5519
796,02/12/2021,PATH WTC 2,1181,3303
797,02/12/2021,PATH NEW WTC,11298,11254
798,01/30/2021,NEWARK HW BMEBE,313,602
799,01/30/2021,HARRISON,896,1153
800,01/30/2021,JOURNAL SQUARE,4862,4278
801,01/30/2021,GROVE STREET,2773,3680
802,01/30/2021,EXCHANGE PLACE,1347,2150
803,01/30/2021,PAVONIA/NEWPORT,1955,3045
804,01/30/2021,CITY / BUS,1755,1858
805,01/30/2021,CHRISTOPHER ST,786,823
806,01/30/2021,9TH STREET,829,1115
807,01/30/2021,14TH STREET,1566,1835
808,01/30/2021,TWENTY THIRD ST,886,1126
809,01/30/2021,THIRTY ST,1034,935
810,01/30/2021,LACKAWANNA,419,630
811,01/30/2021,THIRTY THIRD ST,2984,1847
812,01/30/2021,NEWARK BM BW,2502,301
813,01/30/2021,NEWARK C,342,196
814,01/30/2021,NEWARK HM HE,0,3084
815,01/30/2021,PATH WTC 2,688,2197
816,01/30/2021,PATH NEW WTC,5492,4976
817,01/31/2021,NEWARK HW BMEBE,219,539
818,01/31/2021,HARRISON,613,827
819,01/31/2021,JOURNAL SQUARE,3627,3356
820,01/31/2021,GROVE STREET,1903,2309
821,01/31/2021,EXCHANGE PLACE,971,1448
822,01/31/2021,PAVONIA/NEWPORT,1269,1789
823,01/31/2021,CITY / BUS,1254,1397
824,01/31/2021,CHRISTOPHER ST,399,484
825,01/31/2021,9TH STREET,531,758
826,01/31/2021,14TH STREET,976,1359
827,01/31/2021,TWENTY THIRD ST,522,766
828,01/31/2021,THIRTY ST,679,322
829,01/31/2021,LACKAWANNA,256,479
830,01/31/2021,THIRTY THIRD ST,2089,1873
831,01/31/2021,NEWARK BM BW,1982,378
832,01/31/2021,NEWARK C,278,137
833,01/31/2021,NEWARK HM HE,16,2497
834,01/31/2021,PATH WTC 2,580,1636
835,01/31/2021,PATH NEW WTC,3779,3745
836,02/01/2021,NEWARK HW BMEBE,40,235
837,02/01/2021,HARRISON,365,513
838,02/01/2021,JOURNAL SQUARE,1920,1877
839,02/01/2021,GROVE STREET,768,917
840,02/01/2021,EXCHANGE PLACE,410,519
841,02/01/2021,PAVONIA/NEWPORT,383,492
842,02/01/2021,CITY / BUS,747,857
843,02/01/2021,CHRISTOPHER ST,121,166
844,02/01/2021,9TH STREET,115,176
845,02/01/2021,14TH STREET,327,541
846,02/01/2021,TWENTY THIRD ST,230,409
847,02/01/2021,THIRTY ST,483,718
848,02/01/2021,LACKAWANNA,90,205
849,02/01/2021,THIRTY THIRD ST,1020,614
850,02/01/2021,NEWARK BM BW,749,278
851,02/01/2021,NEWARK C,102,180
852,02/01/2021,NEWARK HM HE,0,807
853,02/01/2021,PATH WTC 2,203,573
854,02/01/2021,PATH NEW WTC,1644,1856
855,02/02/2021,NEWARK HW BMEBE,0,57
856,02/02/2021,HARRISON,95,387
857,02/02/2021,JOURNAL SQUARE,2443,2933
858,02/02/2021,GROVE STREET,934,1378
859,02/02/2021,EXCHANGE PLACE,593,870
860,02/02/2021,PAVONIA/NEWPORT,663,811
861,02/02/2021,CITY / BUS,897,1138
862,02/02/2021,CHRISTOPHER ST,230,276
863,02/02/2021,9TH STREET,221,348
864,02/02/2021,14TH STREET,476,703
865,02/02/2021,TWENTY THIRD ST,354,463
866,02/02/2021,THIRTY ST,620,310
867,02/02/2021,LACKAWANNA,115,260
868,02/02/2021,THIRTY THIRD ST,1354,1543
869,02/02/2021,NEWARK BM BW,476,427
870,02/02/2021,NEWARK C,47,344
871,02/02/2021,NEWARK HM HE,0,78
872,02/02/2021,PATH WTC 2,307,410
873,02/02/2021,PATH NEW WTC,2192,1828
874,02/03/2021,NEWARK HW BMEBE,836,1320
875,02/03/2021,HARRISON,1960,2177
876,02/03/2021,JOURNAL SQUARE,8553,7220
877,02/03/2021,GROVE STREET,3933,4603
878,02/03/2021,EXCHANGE PLACE,2588,2913
879,02/03/2021,PAVONIA/NEWPORT,2263,2744
880,02/03/2021,CITY / BUS,2834,3134
881,02/03/2021,CHRISTOPHER ST,800,902
882,02/03/2021,9TH STREET,798,1086
883,02/03/2021,14TH STREET,1884,2362
884,02/03/2021,TWENTY THIRD ST,1629,2053
885,02/03/2021,THIRTY ST,2274,2357
886,02/03/2021,LACKAWANNA,1113,1306
887,02/03/2021,THIRTY THIRD ST,4106,2676
888,02/03/2021,NEWARK BM BW,5027,271
889,02/03/2021,NEWARK C,934,147
890,02/03/2021,NEWARK HM HE,0,5655
891,02/03/2021,PATH WTC 2,1051,3183
892,02/03/2021,PATH NEW WTC,10931,10261
893,02/04/2021,NEWARK HW BMEBE,908,1355
894,02/04/2021,HARRISON,2059,2423
895,02/04/2021,JOURNAL SQUARE,8530,7132
896,02/04/2021,GROVE STREET,4199,4989
897,02/04/2021,EXCHANGE PLACE,2623,3550
898,02/04/2021,PAVONIA/NEWPORT,2557,3031
899,02/04/2021,CITY / BUS,3091,3474
900,02/04/2021,CHRISTOPHER ST,886,989
901,02/04/2021,9TH STREET,963,1219
902,02/04/2021,14TH STREET,2163,2479
903,02/04/2021,TWENTY THIRD ST,1712,2080
904,02/04/2021,THIRTY ST,2541,2390
905,02/04/2021,LACKAWANNA,1273,1609
906,02/04/2021,THIRTY THIRD ST,4305,2743
907,02/04/2021,NEWARK BM BW,4786,455
908,02/04/2021,NEWARK C,1067,236
909,02/04/2021,NEWARK HM HE,0,6155
910,02/04/2021,PATH WTC 2,1052,3123
911,02/04/2021,PATH NEW WTC,11672,11525
912,02/05/2021,NEWARK HW BMEBE,934,1287
913,02/05/2021,HARRISON,2039,2288
914,02/05/2021,JOURNAL SQUARE,8264,7127
915,02/05/2021,GROVE STREET,4179,5011
916,02/05/2021,EXCHANGE PLACE,2690,3392
917,02/05/2021,PAVONIA/NEWPORT,2771,3591
918,02/05/2021,CITY / BUS,3114,3743
919,02/05/2021,CHRISTOPHER ST,1013,1042
920,02/05/2021,9TH STREET,930,1266
921,02/05/2021,14TH STREET,2209,2712
922,02/05/2021,TWENTY THIRD ST,1795,2237
923,02/05/2021,THIRTY ST,2577,2809
924,02/05/2021,LACKAWANNA,1244,1555
925,02/05/2021,THIRTY THIRD ST,4412,3217
926,02/05/2021,NEWARK BM BW,4755,277
927,02/05/2021,NEWARK C,956,188
928,02/05/2021,NEWARK HM HE,0,6195
929,02/05/2021,PATH WTC 2,996,3177
930,02/05/2021,PATH NEW WTC,11550,11563
931,01/23/2021,NEWARK HW BMEBE,270,703
932,01/23/2021,HARRISON,1011,1228
933,01/23/2021,JOURNAL SQUARE,5128,4645
934,01/23/2021,GROVE STREET,2968,3854
935,01/23/2021,EXCHANGE PLACE,1530,2141
936,01/23/2021,PAVONIA/NEWPORT,1991,2483
937,01/23/2021,CITY / BUS,2120,2811
938,01/23/2021,CHRISTOPHER ST,850,972
939,01/23/2021,9TH STREET,1010,1224
940,01/23/2021,14TH STREET,1637,2043
941,01/23/2021,TWENTY THIRD ST,904,1249
942,01/23/2021,THIRTY ST,1145,393
943,01/23/2021,LACKAWANNA,539,786
944,01/23/2021,THIRTY THIRD ST,3304,2553
945,01/23/2021,NEWARK BM BW,2825,316
946,01/23/2021,NEWARK C,449,140
947,01/23/2021,NEWARK HM HE,0,3335
948,01/23/2021,PATH WTC 2,705,2196
949,01/23/2021,PATH NEW WTC,6232,5647
950,01/24/2021,NEWARK HW BMEBE,213,486
951,01/24/2021,HARRISON,646,826
952,01/24/2021,JOURNAL SQUARE,3617,3520
953,01/24/2021,GROVE STREET,2012,2542
954,01/24/2021,EXCHANGE PLACE,1121,1456
955,01/24/2021,PAVONIA/NEWPORT,1325,1533
956,01/24/2021,CITY / BUS,1488,1765
957,01/24/2021,CHRISTOPHER ST,556,622
958,01/24/2021,9TH STREET,616,826
959,01/24/2021,14TH STREET,1137,1460
960,01/24/2021,TWENTY THIRD ST,592,904
961,01/24/2021,THIRTY ST,888,686
962,01/24/2021,LACKAWANNA,394,601
963,01/24/2021,THIRTY THIRD ST,2076,2062
964,01/24/2021,NEWARK BM BW,1876,242
965,01/24/2021,NEWARK C,329,118
966,01/24/2021,NEWARK HM HE,0,2579
967,01/24/2021,PATH WTC 2,614,1843
968,01/24/2021,PATH NEW WTC,3997,3985
969,01/25/2021,NEWARK HW BMEBE,849,1494
970,01/25/2021,HARRISON,1982,2298
971,01/25/2021,JOURNAL SQUARE,8116,6393
972,01/25/2021,GROVE STREET,3743,4387
973,01/25/2021,EXCHANGE PLACE,2631,3197
974,01/25/2021,PAVONIA/NEWPORT,2232,2627
975,01/25/2021,CITY / BUS,2777,3109
976,01/25/2021,CHRISTOPHER ST,841,936
977,01/25/2021,9TH STREET,769,1053
978,01/25/2021,14TH STREET,1884,2412
979,01/25/2021,TWENTY THIRD ST,1569,2053
980,01/25/2021,THIRTY ST,2511,2334
981,01/25/2021,LACKAWANNA,1339,1450
982,01/25/2021,THIRTY THIRD ST,4271,3344
983,01/25/2021,NEWARK BM BW,4715,284
984,01/25/2021,NEWARK C,969,177
985,01/25/2021,NEWARK HM HE,0,5763
986,01/25/2021,PATH WTC 2,1074,3043
987,01/25/2021,PATH NEW WTC,11306,11221
988,01/26/2021,NEWARK HW BMEBE,811,1278
989,01/26/2021,HARRISON,1953,2344
990,01/26/2021,JOURNAL SQUARE,7821,6815
991,01/26/2021,GROVE STREET,3602,4121
992,01/26/2021,EXCHANGE PLACE,2402,2900
993,01/26/2021,PAVONIA/NEWPORT,2167,2694
994,01/26/2021,CITY / BUS,2623,2959
995,01/26/2021,CHRISTOPHER ST,824,917
996,01/26/2021,9TH STREET,773,1016
997,01/26/2021,14TH STREET,1852,2453
998,01/26/2021,TWENTY THIRD ST,1452,1976
999,01/26/2021,THIRTY ST,2461,2129
1000,01/26/2021,LACKAWANNA,1211,1458
1001,01/26/2021,THIRTY THIRD ST,4099,3217
1002,01/26/2021,NEWARK BM BW,4385,334
1003,01/26/2021,NEWARK C,986,283
1004,01/26/2021,NEWARK HM HE,0,5044
1005,01/26/2021,PATH WTC 2,1034,3007
1006,01/26/2021,PATH NEW WTC,10801,10523
1007,01/27/2021,NEWARK HW BMEBE,851,1485
1008,01/27/2021,HARRISON,2079,2269
1009,01/27/2021,JOURNAL SQUARE,8448,6549
1010,01/27/2021,GROVE STREET,4019,4582
1011,01/27/2021,EXCHANGE PLACE,2646,3024
1012,01/27/2021,PAVONIA/NEWPORT,2489,2834
1013,01/27/2021,CITY / BUS,2982,3265
1014,01/27/2021,CHRISTOPHER ST,882,1064
1015,01/27/2021,9TH STREET,875,1189
1016,01/27/2021,14TH STREET,1957,2640
1017,01/27/2021,TWENTY THIRD ST,1708,2160
1018,01/27/2021,THIRTY ST,2594,2399
1019,01/27/2021,LACKAWANNA,1324,1545
1020,01/27/2021,THIRTY THIRD ST,4136,3167
1021,01/27/2021,NEWARK BM BW,4971,345
1022,01/27/2021,NEWARK C,1049,325
1023,01/27/2021,NEWARK HM HE,0,5893
1024,01/27/2021,PATH WTC 2,1110,3101
1025,01/27/2021,PATH NEW WTC,11847,11827
1026,01/28/2021,NEWARK HW BMEBE,929,1437
1027,01/28/2021,HARRISON,2008,2330
1028,01/28/2021,JOURNAL SQUARE,8428,6710
1029,01/28/2021,GROVE STREET,4121,4665
1030,01/28/2021,EXCHANGE PLACE,2732,3301
1031,01/28/2021,PAVONIA/NEWPORT,2337,2901
1032,01/28/2021,CITY / BUS,2980,3358
1033,01/28/2021,CHRISTOPHER ST,879,996
1034,01/28/2021,9TH STREET,905,1140
1035,01/28/2021,14TH STREET,2150,2654
1036,01/28/2021,TWENTY THIRD ST,1661,2169
1037,01/28/2021,THIRTY ST,2521,2516
1038,01/28/2021,LACKAWANNA,1351,1545
1039,01/28/2021,THIRTY THIRD ST,4440,3039
1040,01/28/2021,NEWARK BM BW,4721,260
1041,01/28/2021,NEWARK C,1140,243
1042,01/28/2021,NEWARK HM HE,0,6057
1043,01/28/2021,PATH WTC 2,1035,3103
1044,01/28/2021,PATH NEW WTC,11706,11462
1045,01/29/2021,NEWARK HW BMEBE,770,1399
1046,01/29/2021,HARRISON,1803,2074
1047,01/29/2021,JOURNAL SQUARE,7536,6140
1048,01/29/2021,GROVE STREET,3698,4521
1049,01/29/2021,EXCHANGE PLACE,2507,3007
1050,01/29/2021,PAVONIA/NEWPORT,2274,2970
1051,01/29/2021,CITY / BUS,2736,3498
1052,01/29/2021,CHRISTOPHER ST,874,978
1053,01/29/2021,9TH STREET,847,1122
1054,01/29/2021,14TH STREET,1947,2490
1055,01/29/2021,TWENTY THIRD ST,1560,2078
1056,01/29/2021,THIRTY ST,2324,2142
1057,01/29/2021,LACKAWANNA,912,1359
1058,01/29/2021,THIRTY THIRD ST,3960,3514
1059,01/29/2021,NEWARK BM BW,4643,373
1060,01/29/2021,NEWARK C,1066,265
1061,01/29/2021,NEWARK HM HE,3,5324
1062,01/29/2021,PATH WTC 2,1120,2972
1063,01/29/2021,PATH NEW WTC,10598,10711
1064,01/16/2021,NEWARK HW BMEBE,338,798
1065,01/16/2021,HARRISON,966,1087
1066,01/16/2021,JOURNAL SQUARE,5289,4792
1067,01/16/2021,GROVE STREET,2825,3489
1068,01/16/2021,EXCHANGE PLACE,1502,2108
1069,01/16/2021,PAVONIA/NEWPORT,1999,2487
1070,01/16/2021,CITY / BUS,2130,2836
1071,01/16/2021,CHRISTOPHER ST,864,1019
1072,01/16/2021,9TH STREET,962,1243
1073,01/16/2021,14TH STREET,1568,2005
1074,01/16/2021,TWENTY THIRD ST,955,1193
1075,01/16/2021,THIRTY ST,1526,1907
1076,01/16/2021,LACKAWANNA,453,767
1077,01/16/2021,THIRTY THIRD ST,2917,1398
1078,01/16/2021,NEWARK BM BW,2848,291
1079,01/16/2021,NEWARK C,406,192
1080,01/16/2021,NEWARK HM HE,7,3393
1081,01/16/2021,PATH WTC 2,777,2426
1082,01/16/2021,PATH NEW WTC,5861,5664
1083,01/17/2021,NEWARK HW BMEBE,207,504
1084,01/17/2021,HARRISON,724,915
1085,01/17/2021,JOURNAL SQUARE,4045,3885
1086,01/17/2021,GROVE STREET,2212,2793
1087,01/17/2021,EXCHANGE PLACE,1254,1625
1088,01/17/2021,PAVONIA/NEWPORT,1638,1851
1089,01/17/2021,CITY / BUS,1763,2399
1090,01/17/2021,CHRISTOPHER ST,671,820
1091,01/17/2021,9TH STREET,783,1076
1092,01/17/2021,14TH STREET,1352,1667
1093,01/17/2021,TWENTY THIRD ST,730,1050
1094,01/17/2021,THIRTY ST,993,300
1095,01/17/2021,LACKAWANNA,477,614
1096,01/17/2021,THIRTY THIRD ST,2558,2382
1097,01/17/2021,NEWARK BM BW,2205,296
1098,01/17/2021,NEWARK C,277,189
1099,01/17/2021,NEWARK HM HE,0,2774
1100,01/17/2021,PATH WTC 2,442,1902
1101,01/17/2021,PATH NEW WTC,4932,4431
1102,01/18/2021,NEWARK HW BMEBE,498,1183
1103,01/18/2021,HARRISON,1521,1762
1104,01/18/2021,JOURNAL SQUARE,6424,5636
1105,01/18/2021,GROVE STREET,3089,3477
1106,01/18/2021,EXCHANGE PLACE,1885,2347
1107,01/18/2021,PAVONIA/NEWPORT,2066,2374
1108,01/18/2021,CITY / BUS,2175,2626
1109,01/18/2021,CHRISTOPHER ST,775,946
1110,01/18/2021,9TH STREET,801,1111
1111,01/18/2021,14TH STREET,1494,2224
1112,01/18/2021,TWENTY THIRD ST,1116,1489
1113,01/18/2021,THIRTY ST,1978,1226
1114,01/18/2021,LACKAWANNA,635,750
1115,01/18/2021,THIRTY THIRD ST,3381,4543
1116,01/18/2021,NEWARK BM BW,4101,274
1117,01/18/2021,NEWARK C,660,219
1118,01/18/2021,NEWARK HM HE,1,4335
1119,01/18/2021,PATH WTC 2,819,2880
1120,01/18/2021,PATH NEW WTC,7980,7828
1121,01/19/2021,NEWARK HW BMEBE,939,1493
1122,01/19/2021,HARRISON,2017,2421
1123,01/19/2021,JOURNAL SQUARE,8506,6952
1124,01/19/2021,GROVE STREET,3825,4210
1125,01/19/2021,EXCHANGE PLACE,2632,3190
1126,01/19/2021,PAVONIA/NEWPORT,2488,3041
1127,01/19/2021,CITY / BUS,2863,3095
1128,01/19/2021,CHRISTOPHER ST,944,1052
1129,01/19/2021,9TH STREET,853,1139
1130,01/19/2021,14TH STREET,1967,2570
1131,01/19/2021,TWENTY THIRD ST,1644,2207
1132,01/19/2021,THIRTY ST,2615,2295
1133,01/19/2021,LACKAWANNA,1339,1590
1134,01/19/2021,THIRTY THIRD ST,4488,3650
1135,01/19/2021,NEWARK BM BW,5125,331
1136,01/19/2021,NEWARK C,926,293
1137,01/19/2021,NEWARK HM HE,0,5734
1138,01/19/2021,PATH WTC 2,1157,3097
1139,01/19/2021,PATH NEW WTC,11292,11334
1140,01/20/2021,NEWARK HW BMEBE,839,1446
1141,01/20/2021,HARRISON,1926,2209
