,DATE,STATION,ENTRIES,EXITS
130,03/19/2021,NEWARK HM HE,0,6276
131,03/19/2021,PATH WTC 2,1257,3426
132,03/19/2021,PATH NEW WTC,12614,12851
133,03/06/2021,NEWARK HW BMEBE,319,702
134,03/06/2021,HARRISON,1106,1178
135,03/06/2021,JOURNAL SQUARE,5803,4703
136,03/06/2021,GROVE STREET,3447,3435
137,03/06/2021,EXCHANGE PLACE,1655,1950
138,03/06/2021,PAVONIA/NEWPORT,2346,2229
139,03/06/2021,CITY / BUS,2700,3067
140,03/06/2021,CHRISTOPHER ST,989,1243
141,03/06/2021,9TH STREET,1068,1550
142,03/06/2021,14TH STREET,1809,2353
143,03/06/2021,TWENTY THIRD ST,1059,1405
144,03/06/2021,THIRTY ST,1015,203
145,03/06/2021,LACKAWANNA,559,705
146,03/06/2021,THIRTY THIRD ST,3862,3681
147,03/06/2021,NEWARK BM BW,3515,278
148,03/06/2021,NEWARK C,534,239
149,03/06/2021,NEWARK HM HE,0,3622
150,03/06/2021,PATH WTC 2,840,1692
151,03/06/2021,PATH NEW WTC,6304,7397
152,03/07/2021,NEWARK HW BMEBE,240,495
153,03/07/2021,HARRISON,811,1029
154,03/07/2021,JOURNAL SQUARE,4185,3905
155,03/07/2021,GROVE STREET,2242,2614
156,03/07/2021,EXCHANGE PLACE,1197,1628
157,03/07/2021,PAVONIA/NEWPORT,1696,1715
158,03/07/2021,CITY / BUS,1768,2067
159,03/07/2021,CHRISTOPHER ST,654,865
160,03/07/2021,9TH STREET,804,1092
161,03/07/2021,14TH STREET,1266,1512
162,03/07/2021,TWENTY THIRD ST,693,1035
163,03/07/2021,THIRTY ST,918,2325
164,03/07/2021,LACKAWANNA,442,588
165,03/07/2021,THIRTY THIRD ST,2451,893
166,03/07/2021,NEWARK BM BW,2433,323
167,03/07/2021,NEWARK C,371,155
168,03/07/2021,NEWARK HM HE,0,2777
169,03/07/2021,PATH WTC 2,759,1232
170,03/07/2021,PATH NEW WTC,4527,5268
171,03/08/2021,NEWARK HW BMEBE,790,1378
172,03/08/2021,HARRISON,2120,2516
173,03/08/2021,JOURNAL SQUARE,8720,6906
174,03/08/2021,GROVE STREET,3784,4208
175,03/08/2021,EXCHANGE PLACE,2733,3350
176,03/08/2021,PAVONIA/NEWPORT,2480,3074
177,03/08/2021,CITY / BUS,2996,3239
