,CORRECT TOTAL,DBSCAN ENTRY,DBSCAN EXITS,ENTRY ERROR,EXIT ERROR
count,84.0,84.0,84.0,84.0,84.0
mean,1482536.119047619,1295941.238095238,1350991.2738095238,-12.817045787825402,-7.978066681498079
std,390032.2373059556,352709.6305923859,320298.8625793462,3.389378994079333,3.9079359171923627
min,584184.0,552888.0,614705.0,-21.967872304197293,-14.621775255924712
25%,1140524.25,961689.25,1087960.25,-14.690974986560763,-9.986286502448024
50%,1647413.0,1497204.0,1507575.5,-12.580428700391536,-8.789795544597506
75%,1792326.25,1557910.75,1592093.75,-10.346531839591925,-6.082115947112486
max,1941782.0,1653815.0,1730209.0,-5.357216219547266,5.224552538241376
