,DATE,ENTRIES,EXITS,STATION,Unnamed: 0
20063,03/27/2021,618.0,883.0,NEWARK HW BMEBE,20063.0
20064,03/28/2021,219.0,443.0,NEWARK HW BMEBE,20064.0
20065,03/29/2021,1641.0,1743.0,NEWARK HW BMEBE,20065.0
20066,03/30/2021,1465.0,1875.0,NEWARK HW BMEBE,20066.0
20067,03/31/2021,1279.0,1823.0,NEWARK HW BMEBE,20067.0
20068,04/01/2021,979.0,1751.0,NEWARK HW BMEBE,20068.0
20069,04/02/2021,638.0,1420.0,NEWARK HW BMEBE,20069.0
20070,03/20/2021,467.0,838.0,NEWARK HW BMEBE,20070.0
20071,03/21/2021,259.0,659.0,NEWARK HW BMEBE,20071.0
20072,03/22/2021,975.0,1592.0,NEWARK HW BMEBE,20072.0
20073,03/23/2021,1034.0,1605.0,NEWARK HW BMEBE,20073.0
20074,03/24/2021,948.0,1775.0,NEWARK HW BMEBE,20074.0
20075,03/25/2021,1009.0,1686.0,NEWARK HW BMEBE,20075.0
20076,03/26/2021,1076.0,1487.0,NEWARK HW BMEBE,20076.0
20077,03/13/2021,423.0,800.0,NEWARK HW BMEBE,20077.0
20078,03/14/2021,271.0,585.0,NEWARK HW BMEBE,20078.0
20079,03/15/2021,874.0,1487.0,NEWARK HW BMEBE,20079.0
20080,03/16/2021,1004.0,1695.0,NEWARK HW BMEBE,20080.0
20081,03/17/2021,990.0,1650.0,NEWARK HW BMEBE,20081.0
20082,03/18/2021,818.0,1493.0,NEWARK HW BMEBE,20082.0
20083,03/19/2021,1001.0,1476.0,NEWARK HW BMEBE,20083.0
20084,03/06/2021,319.0,702.0,NEWARK HW BMEBE,20084.0
20085,03/07/2021,240.0,495.0,NEWARK HW BMEBE,20085.0
20086,03/08/2021,790.0,1378.0,NEWARK HW BMEBE,20086.0
20087,03/09/2021,1018.0,1605.0,NEWARK HW BMEBE,20087.0
20088,03/10/2021,1073.0,1563.0,NEWARK HW BMEBE,20088.0
20089,03/11/2021,1155.0,1673.0,NEWARK HW BMEBE,20089.0
20090,03/12/2021,1033.0,1718.0,NEWARK HW BMEBE,20090.0
20091,02/27/2021,285.0,684.0,NEWARK HW BMEBE,20091.0
20092,02/28/2021,0.0,382.0,NEWARK HW BMEBE,20092.0
20093,03/01/2021,949.0,1689.0,NEWARK HW BMEBE,20093.0
20094,03/02/2021,989.0,1477.0,NEWARK HW BMEBE,20094.0
20095,03/03/2021,1045.0,1523.0,NEWARK HW BMEBE,20095.0
20096,03/04/2021,1075.0,1643.0,NEWARK HW BMEBE,20096.0
20097,03/05/2021,939.0,1502.0,NEWARK HW BMEBE,20097.0
20098,02/20/2021,3.0,576.0,NEWARK HW BMEBE,20098.0
20099,02/21/2021,0.0,472.0,NEWARK HW BMEBE,20099.0
20100,02/22/2021,871.0,1428.0,NEWARK HW BMEBE,20100.0
20101,02/23/2021,945.0,1557.0,NEWARK HW BMEBE,20101.0
20102,02/24/2021,959.0,1560.0,NEWARK HW BMEBE,20102.0
20103,02/25/2021,963.0,1553.0,NEWARK HW BMEBE,20103.0
20104,02/26/2021,919.0,1639.0,NEWARK HW BMEBE,20104.0
20105,02/13/2021,294.0,653.0,NEWARK HW BMEBE,20105.0
20106,02/14/2021,215.0,525.0,NEWARK HW BMEBE,20106.0
20107,02/15/2021,434.0,946.0,NEWARK HW BMEBE,20107.0
20108,02/16/2021,852.0,1405.0,NEWARK HW BMEBE,20108.0
20109,02/17/2021,934.0,1502.0,NEWARK HW BMEBE,20109.0
20110,02/18/2021,556.0,972.0,NEWARK HW BMEBE,20110.0
20111,02/19/2021,413.0,1300.0,NEWARK HW BMEBE,20111.0
20112,02/06/2021,379.0,664.0,NEWARK HW BMEBE,20112.0
20113,02/07/2021,146.0,336.0,NEWARK HW BMEBE,20113.0
20114,02/08/2021,800.0,1389.0,NEWARK HW BMEBE,20114.0
20115,02/09/2021,842.0,1335.0,NEWARK HW BMEBE,20115.0
20116,02/10/2021,975.0,1497.0,NEWARK HW BMEBE,20116.0
20117,02/11/2021,858.0,1380.0,NEWARK HW BMEBE,20117.0
20118,02/12/2021,841.0,1490.0,NEWARK HW BMEBE,20118.0
20119,01/30/2021,313.0,602.0,NEWARK HW BMEBE,20119.0
20120,01/31/2021,219.0,539.0,NEWARK HW BMEBE,20120.0
20121,02/01/2021,40.0,235.0,NEWARK HW BMEBE,20121.0
20122,02/02/2021,0.0,57.0,NEWARK HW BMEBE,20122.0
20123,02/03/2021,836.0,1320.0,NEWARK HW BMEBE,20123.0
20124,02/04/2021,908.0,1355.0,NEWARK HW BMEBE,20124.0
20125,02/05/2021,934.0,1287.0,NEWARK HW BMEBE,20125.0
20126,01/23/2021,270.0,703.0,NEWARK HW BMEBE,20126.0
20127,01/24/2021,213.0,486.0,NEWARK HW BMEBE,20127.0
20128,01/25/2021,849.0,1494.0,NEWARK HW BMEBE,20128.0
20129,01/26/2021,811.0,1278.0,NEWARK HW BMEBE,20129.0
20130,01/27/2021,851.0,1485.0,NEWARK HW BMEBE,20130.0
20131,01/28/2021,929.0,1437.0,NEWARK HW BMEBE,20131.0
20132,01/29/2021,770.0,1399.0,NEWARK HW BMEBE,20132.0
20133,01/16/2021,623.0,1665.0,NEWARK HW BMEBE,20133.0
20134,01/17/2021,507.0,1381.0,NEWARK HW BMEBE,20134.0
20135,01/18/2021,799.0,2060.0,NEWARK HW BMEBE,20135.0
20136,01/19/2021,1236.0,2378.0,NEWARK HW BMEBE,20136.0
20137,01/20/2021,1210.0,2340.0,NEWARK HW BMEBE,20137.0
20138,01/21/2021,977.0,1542.0,NEWARK HW BMEBE,20138.0
20139,01/22/2021,936.0,1508.0,NEWARK HW BMEBE,20139.0
20140,01/09/2021,359.0,1521.0,NEWARK HW BMEBE,20140.0
20141,01/10/2021,259.0,1334.0,NEWARK HW BMEBE,20141.0
20142,01/11/2021,751.0,2250.0,NEWARK HW BMEBE,20142.0
20143,01/12/2021,1026.0,2266.0,NEWARK HW BMEBE,20143.0
20144,01/13/2021,1112.0,2350.0,NEWARK HW BMEBE,20144.0
20145,01/14/2021,1051.0,2313.0,NEWARK HW BMEBE,20145.0
20146,01/15/2021,1097.0,2409.0,NEWARK HW BMEBE,20146.0
20147,03/27/2021,1666.0,1753.0,HARRISON,20147.0
20148,03/28/2021,621.0,875.0,HARRISON,20148.0
20149,03/29/2021,2106.0,2351.0,HARRISON,20149.0
20150,03/30/2021,2314.0,2641.0,HARRISON,20150.0
20151,03/31/2021,2186.0,2640.0,HARRISON,20151.0
20152,04/01/2021,2226.0,2472.0,HARRISON,20152.0
20153,04/02/2021,1974.0,2260.0,HARRISON,20153.0
20154,03/20/2021,1416.0,1180.0,HARRISON,20154.0
20155,03/21/2021,1035.0,1169.0,HARRISON,20155.0
20156,03/22/2021,2212.0,1951.0,HARRISON,20156.0
20157,03/23/2021,2296.0,2474.0,HARRISON,20157.0
20158,03/24/2021,2143.0,2153.0,HARRISON,20158.0
20159,03/25/2021,2448.0,3114.0,HARRISON,20159.0
20160,03/26/2021,2343.0,2492.0,HARRISON,20160.0
20161,03/13/2021,1326.0,1010.0,HARRISON,20161.0
20162,03/14/2021,894.0,783.0,HARRISON,20162.0
20163,03/15/2021,2173.0,2497.0,HARRISON,20163.0
20164,03/16/2021,2212.0,2448.0,HARRISON,20164.0
20165,03/17/2021,2330.0,2677.0,HARRISON,20165.0
20166,03/18/2021,2080.0,2375.0,HARRISON,20166.0
20167,03/19/2021,2236.0,2494.0,HARRISON,20167.0
20168,03/06/2021,1106.0,1178.0,HARRISON,20168.0
20169,03/07/2021,811.0,1029.0,HARRISON,20169.0
20170,03/08/2021,2120.0,2516.0,HARRISON,20170.0
20171,03/09/2021,2290.0,2640.0,HARRISON,20171.0
20172,03/10/2021,2295.0,2576.0,HARRISON,20172.0
20173,03/11/2021,2370.0,2657.0,HARRISON,20173.0
20174,03/12/2021,2347.0,2634.0,HARRISON,20174.0
20175,02/27/2021,1069.0,1177.0,HARRISON,20175.0
20176,02/28/2021,660.0,855.0,HARRISON,20176.0
20177,03/01/2021,2139.0,2403.0,HARRISON,20177.0
20178,03/02/2021,2158.0,2511.0,HARRISON,20178.0
20179,03/03/2021,2601.0,2502.0,HARRISON,20179.0
20180,03/04/2021,2742.0,2663.0,HARRISON,20180.0
20181,03/05/2021,2141.0,2491.0,HARRISON,20181.0
20182,02/20/2021,1132.0,1200.0,HARRISON,20182.0
20183,02/21/2021,744.0,985.0,HARRISON,20183.0
20184,02/22/2021,1902.0,2230.0,HARRISON,20184.0
20185,02/23/2021,2155.0,2549.0,HARRISON,20185.0
20186,02/24/2021,2241.0,2440.0,HARRISON,20186.0
20187,02/25/2021,2228.0,1886.0,HARRISON,20187.0
20188,02/26/2021,2113.0,2486.0,HARRISON,20188.0
20189,02/13/2021,1034.0,1216.0,HARRISON,20189.0
20190,02/14/2021,841.0,940.0,HARRISON,20190.0
20191,02/15/2021,1203.0,1464.0,HARRISON,20191.0
20192,02/16/2021,2025.0,2410.0,HARRISON,20192.0
20193,02/17/2021,2143.0,2431.0,HARRISON,20193.0
20194,02/18/2021,1342.0,1657.0,HARRISON,20194.0
20195,02/19/2021,1317.0,2060.0,HARRISON,20195.0
20196,02/06/2021,1155.0,1344.0,HARRISON,20196.0
20197,02/07/2021,422.0,607.0,HARRISON,20197.0
20198,02/08/2021,1959.0,2281.0,HARRISON,20198.0
20199,02/09/2021,1985.0,2324.0,HARRISON,20199.0
20200,02/10/2021,2110.0,2282.0,HARRISON,20200.0
20201,02/11/2021,2008.0,2325.0,HARRISON,20201.0
